Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,188.229996,191.039993,188.089996,190.479996,163.584213,1242500
2015-04-07,190.479996,191.330002,189.970001,189.970001,163.146255,1372300
2015-04-08,190.240005,191.059998,189.809998,190.660004,163.738785,1412100
2015-04-09,190.449997,191.710007,189.960007,191.490005,164.451569,794800
2015-04-10,191.740005,192.570007,191.539993,192.539993,165.353302,1056900
2015-04-13,192.360001,193.039993,191.600006,191.669998,164.606171,1227800
2015-04-14,191.419998,192.220001,190.770004,192.020004,164.906799,2647800
2015-04-15,192.539993,193.419998,192.449997,192.899994,165.662521,934900
2015-04-16,192.550003,193.369995,192.300003,192.830002,165.602432,823300
2015-04-17,191.529999,191.770004,189.750000,190.589996,163.678680,2059300
2015-04-20,191.669998,192.699997,191.550003,192.330002,165.172958,1430300
2015-04-21,193.110001,193.259995,191.800003,192.139999,165.009827,1089500
2015-04-22,192.490005,193.279999,191.500000,193.089996,165.825653,1125400
2015-04-23,192.649994,194.259995,192.500000,193.589996,166.255081,956400
2015-04-24,194.020004,194.289993,193.520004,193.979996,166.589996,978300
2015-04-27,194.630005,194.740005,193.000000,193.210007,165.928757,898200
2015-04-28,193.169998,193.850006,191.940002,193.809998,166.444046,1103800
2015-04-29,192.809998,193.660004,192.139999,193.020004,165.765533,1408900
2015-04-30,192.399994,192.800003,190.320007,191.100006,164.116669,2506100
2015-05-01,191.960007,193.179993,191.850006,193.100006,165.834229,1921200
2015-05-04,193.639999,194.309998,193.500000,193.699997,166.349533,1060000
2015-05-05,193.399994,193.800003,191.330002,191.440002,164.408646,1138300
2015-05-06,192.089996,192.389999,189.529999,190.669998,163.747391,1588100
2015-05-07,190.589996,191.899994,190.240005,191.440002,164.408646,1320700
2015-05-08,193.300003,194.179993,193.229996,193.949997,166.564209,1322900
2015-05-11,193.929993,194.199997,192.960007,193.020004,165.765533,1090100
2015-05-12,192.149994,193.070007,191.229996,192.460007,165.284622,1852700
2015-05-13,192.960007,193.610001,192.259995,192.520004,165.336151,589000
2015-05-14,193.639999,194.600006,193.330002,194.529999,167.062347,902300
2015-05-15,194.679993,194.880005,194.220001,194.729996,167.234100,719000
2015-05-18,194.630005,195.619995,194.479996,195.330002,167.749420,984500
2015-05-19,195.440002,195.770004,194.960007,195.229996,167.663513,980400
2015-05-20,195.369995,195.949997,194.800003,195.100006,167.551849,3401300
2015-05-21,195.050003,195.929993,194.830002,195.690002,168.058563,756200
2015-05-22,195.309998,195.750000,195.190002,195.259995,167.689285,831600
2015-05-26,194.729996,194.770004,192.699997,193.160004,165.885757,1235300
2015-05-27,193.660004,195.240005,193.300003,194.940002,167.414490,1420100
2015-05-28,194.660004,194.869995,194.000000,194.759995,167.259827,1114500
2015-05-29,194.669998,194.720001,193.250000,193.490005,166.169220,1530900
2015-06-01,194.229996,194.639999,193.089996,193.940002,166.555679,1157400
2015-06-02,193.429993,194.500000,192.750000,193.740005,166.383896,1094400
2015-06-03,194.309998,194.929993,193.740005,194.270004,166.839005,1213800
2015-06-04,193.520004,194.130005,192.279999,192.690002,165.482147,1383400
2015-06-05,192.479996,193.020004,191.580002,192.300003,165.147186,1567800
2015-06-08,192.169998,192.320007,191.020004,191.110001,164.125244,1130100
2015-06-09,191.100006,191.649994,190.369995,191.059998,164.082260,1466100
2015-06-10,191.960007,193.779999,191.880005,193.330002,166.031784,1247700
2015-06-11,193.949997,194.369995,193.630005,193.929993,166.547058,724700
2015-06-12,193.009995,193.220001,192.210007,192.509995,165.327545,2147700
2015-06-15,191.220001,191.970001,190.470001,191.619995,164.563248,1392600
2015-06-16,191.500000,192.809998,191.339996,192.740005,165.525085,819800
2015-06-17,193.059998,193.690002,191.949997,193.070007,165.808472,1170600
2015-06-18,193.610001,195.529999,193.600006,194.979996,167.448807,1041600
2015-06-19,194.800003,194.850006,193.850006,193.850006,166.478348,691400
2015-06-22,194.369995,194.919998,194.050003,194.270004,167.618988,1027000
2015-06-23,194.479996,194.759995,194.000000,194.410004,167.739792,1727200
2015-06-24,194.179993,194.520004,192.990005,193.020004,166.540466,2160600
2015-06-25,193.509995,193.690002,192.360001,192.419998,166.022842,2287600
2015-06-26,192.820007,193.070007,191.800003,192.419998,166.022842,1631900
2015-06-29,190.779999,191.429993,188.259995,188.350006,162.511139,2746800
