Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,116.910004,116.910004,114.529999,116.459999,104.435822,4991000
2016-01-05,116.720001,117.889999,116.209999,116.680000,104.633125,2816800
2016-01-06,115.779999,116.650002,114.500000,115.489998,103.565994,2677300
2016-01-07,113.629997,114.089996,111.419998,112.089996,100.517014,5277200
2016-01-08,112.349998,113.000000,109.760002,110.160004,98.786308,4422400
2016-01-11,110.510002,110.620003,108.190002,109.580002,98.266174,4525800
2016-01-12,110.360001,113.129997,110.050003,112.260002,100.669479,4037800
2016-01-13,112.410004,113.040001,108.930000,109.230003,97.952316,3434300
2016-01-14,108.739998,111.800003,107.510002,110.760002,99.324341,4238200
2016-01-15,109.080002,110.650002,107.790001,109.269997,97.988190,6357000
2016-01-19,111.489998,114.160004,109.599998,112.580002,100.956429,7122800
2016-01-20,112.089996,115.739998,110.150002,114.790001,102.938255,8380700
2016-01-21,114.669998,115.480003,112.260002,113.500000,101.781456,5413900
2016-01-22,114.669998,115.150002,113.889999,114.330002,102.525764,3622200
2016-01-25,114.519997,115.309998,112.849998,113.379997,101.673836,2908500
2016-01-26,112.910004,114.180000,111.760002,113.959999,102.193939,4592500
2016-01-27,114.430000,114.809998,111.839996,112.330002,100.732246,4720300
2016-01-28,112.290001,113.250000,110.610001,111.379997,99.880318,3525600
2016-01-29,111.930000,115.160004,110.620003,115.160004,103.270081,5280800
2016-02-01,114.830002,116.150002,114.110001,115.889999,103.924683,4333500
2016-02-02,114.949997,115.389999,113.269997,113.879997,102.122208,2997700
2016-02-03,114.370003,114.370003,110.300003,112.750000,101.108902,3462300
2016-02-04,112.669998,114.550003,112.040001,114.199997,102.409164,3608300
2016-02-05,114.070000,114.209999,110.900002,111.720001,100.185226,3330800
2016-02-08,110.500000,111.120003,108.830002,110.019997,98.660736,5050200
2016-02-09,109.370003,112.279999,109.139999,111.160004,99.683052,3680200
2016-02-10,111.330002,114.480003,111.330002,112.739998,101.099930,3023200
2016-02-11,111.320000,111.690002,110.089996,110.620003,99.198792,3955000
2016-02-12,111.199997,111.910004,110.209999,111.820000,100.274918,2552100
2016-02-16,112.629997,115.269997,112.529999,115.150002,103.261101,3445700
2016-02-17,115.500000,118.389999,115.199997,118.300003,106.085876,4466000
2016-02-18,118.500000,120.000000,117.059998,117.449997,105.323616,3847100
2016-02-19,117.500000,118.550003,116.019997,117.680000,105.529884,4481400
2016-02-22,119.099998,122.139999,118.959999,121.269997,108.749214,5054800
2016-02-23,120.639999,121.800003,120.269997,121.150002,108.641602,2804400
2016-02-24,119.930000,120.320000,117.830002,120.199997,107.789688,2559700
2016-02-25,120.199997,121.230003,119.820000,121.199997,108.686447,2281700
2016-02-26,121.480003,122.260002,120.889999,121.330002,108.803032,2877500
2016-02-29,121.099998,121.820000,118.970001,119.099998,106.803246,4526300
2016-03-01,119.489998,122.220001,119.370003,121.669998,109.107918,3295600
2016-03-02,121.230003,121.839996,120.370003,121.269997,108.749214,2670900
2016-03-03,120.860001,121.860001,120.089996,121.820000,109.242424,3064100
